id,created_at,updated_at,food_id,name,unit_code,grams
798dcca1-9dcc-5d71-bcb4-130690766183,,,d87b9bdb-013a-5a72-8840-1120c6846689,1 fruit,GRAM,91.0
48dc2800-a496-57cb-a836-31525c95592f,,,5d586bc8-2d9c-56ea-88ec-307cc15093a9,100g phần,GRAM,100.0
7c06ede1-eda8-5130-84a7-e87312620736,,,5d586bc8-2d9c-56ea-88ec-307cc15093a9,1 lime,GRAM,67.0
ec4574ac-3529-5abc-9f80-1ddbb5c51da6,,,b56f310d-153f-5785-99e5-cb3c9e8ba052,100g phần,GRAM,100.0
c9aaa37e-dbed-57cb-bf68-ea904daf7155,,,b56f310d-153f-5785-99e5-cb3c9e8ba052,1 fruit,GRAM,130.0
0cf19f75-8232-5e37-8568-6ffc6fc00e96,,,efd85417-63b0-5ede-8037-dd3c3bab191d,100g phần,GRAM,100.0
fb315350-4b90-5546-8328-4785889a102e,,,efd85417-63b0-5ede-8037-dd3c3bab191d,0.5 fruit,GRAM,100.0
4f5c3ba9-87c1-5d43-a7a1-49b7aa0a8e2d,,,bc1fc4cb-ab9c-5d07-baa3-1e30d84eb137,100g phần,GRAM,100.0
9be7ecbb-25a7-5d81-b396-4ad3e630e475,,,bc1fc4cb-ab9c-5d07-baa3-1e30d84eb137,1 medium orange,GRAM,85.0
00b0e50b-660d-51c2-85c7-b994e8aa9f1f,,,0a88a0a8-cc13-5e57-91fa-12255b5392ac,100g phần,GRAM,100.0
ea29c7cf-03b6-5202-9d4e-983ffc79ded7,,,0a88a0a8-cc13-5e57-91fa-12255b5392ac,1 cup,GRAM,151.0
5481450e-cfaa-51d3-aef9-164f0bfd5dc3,,,d3198c27-b67a-5178-a601-f37a933c034a,100g phần,GRAM,100.0
f4e6ac87-9766-5032-9dfa-63cdc89a6e06,,,d3198c27-b67a-5178-a601-f37a933c034a,1 cup,GRAM,196.0
e58d1920-2219-560c-8b37-0295a4bb5001,,,ca41d039-c09c-5b1e-b90d-1d51c059a39b,100g phần,GRAM,100.0
e8d4480a-d00f-51e0-aba7-181780e152df,,,ca41d039-c09c-5b1e-b90d-1d51c059a39b,1 tbsp,GRAM,15.0
2073986b-76cf-55d0-9124-2a4444a1cc46,,,54f7605f-45fa-5fdb-a3ba-ab2e9f7f895b,100g phần,GRAM,100.0
d86237c0-433a-5918-9ef4-e89a5a4505ff,,,54f7605f-45fa-5fdb-a3ba-ab2e9f7f895b,1 tbsp,GRAM,2.0
8054f0a5-e0c9-5c4a-936c-2c9bd297d6de,,,bf7a5084-6f78-5b8f-9c2c-2e679f44c458,100g phần,GRAM,100.0
e65f5a6b-add7-5f70-a6c9-6370a47f6084,,,bf7a5084-6f78-5b8f-9c2c-2e679f44c458,0.5 cup,GRAM,75.0
a18be3a8-a3fb-578b-8dcd-f4d514cd15c3,,,da8c1742-f6ed-5f95-90ad-02c139616300,100g phần,GRAM,100.0
0be71e2f-5884-5da7-95d4-dbd81abcb69d,,,da8c1742-f6ed-5f95-90ad-02c139616300,0.5 cup,GRAM,75.0
30658b0e-2b29-5f95-a3d8-10a11f153f90,,,70fae5b1-0211-5807-97eb-b3c0f18403e5,100g phần,GRAM,100.0
34d1c9d7-a181-5809-8615-dadc9a31816c,,,70fae5b1-0211-5807-97eb-b3c0f18403e5,1 banana,GRAM,54.0
